VoyageToMoonResult [timestamp=2014-09-12T00:25:00.000Z, speed=10838.0, surface=139153.50216579158, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8042024,84, e= 1,233, omega=131,719, i=169,179, OMEGA=170,504, Tp=2014-09-16T09:22:46.908Z, period=64703,230), trueAnomaly=1.1771024283810453E-4}, velocity=2416.2437987945923, minTimestamp=2014-09-16T09:22:47.000Z, duration=4 d 8 h 57 m 47 s, distance=1876153.5021657916]
VoyageToMoonResult [timestamp=2014-09-12T00:26:00.000Z, speed=10838.0, surface=132293.223234365, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8041541,00, e= 1,232, omega=131,811, i=169,149, OMEGA=170,554, Tp=2014-09-16T09:22:32.108Z, period=64697,391), trueAnomaly=6.283045183620731}, velocity=2420.2187510507083, minTimestamp=2014-09-16T09:22:32.000Z, duration=4 d 8 h 56 m 32 s, distance=1869293.223234365]
VoyageToMoonResult [timestamp=2014-09-12T00:27:00.000Z, speed=10838.0, surface=125435.59833961655, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8041057,39, e= 1,232, omega=131,904, i=169,119, OMEGA=170,605, Tp=2014-09-16T09:22:17.316Z, period=64691,555), trueAnomaly=6.282773088337382}, velocity=2424.214790431555, minTimestamp=2014-09-16T09:22:17.000Z, duration=4 d 8 h 55 m 17 s, distance=1862435.5983396166]
VoyageToMoonResult [timestamp=2014-09-12T00:28:00.000Z, speed=10838.0, surface=118580.47958170809, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8040521,24, e= 1,231, omega=131,997, i=169,088, OMEGA=170,655, Tp=2014-09-16T09:22:02.533Z, period=64685,085), trueAnomaly=6.10428325230169E-4}, velocity=2428.233012493899, minTimestamp=2014-09-16T09:22:03.000Z, duration=4 d 8 h 54 m 3 s, distance=1855580.479581708]
VoyageToMoonResult [timestamp=2014-09-12T00:29:00.000Z, speed=10838.0, surface=111727.95547136525, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8040037,55, e= 1,230, omega=132,091, i=169,058, OMEGA=170,705, Tp=2014-09-16T09:21:47.759Z, period=64679,248), trueAnomaly=3.1593334071177223E-4}, velocity=2432.271911695782, minTimestamp=2014-09-16T09:21:48.000Z, duration=4 d 8 h 52 m 48 s, distance=1848727.9554713652]
VoyageToMoonResult [timestamp=2014-09-12T00:30:00.000Z, speed=10838.0, surface=104878.26345897163, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8039554,16, e= 1,229, omega=132,184, i=169,027, OMEGA=170,755, Tp=2014-09-16T09:21:32.995Z, period=64673,416), trueAnomaly=6.31213258527298E-6}, velocity=2436.332352623679, minTimestamp=2014-09-16T09:21:33.000Z, duration=4 d 8 h 51 m 33 s, distance=1841878.2634589716]
VoyageToMoonResult [timestamp=2014-09-12T00:31:00.000Z, speed=10838.0, surface=98031.47182813776, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8039071,11, e= 1,228, omega=132,277, i=168,996, OMEGA=170,805, Tp=2014-09-16T09:21:18.239Z, period=64667,587), trueAnomaly=6.282866551210784}, velocity=2440.414483544812, minTimestamp=2014-09-16T09:21:18.000Z, duration=4 d 8 h 50 m 18 s, distance=1835031.4718281378]
VoyageToMoonResult [timestamp=2014-09-12T00:32:00.000Z, speed=10838.0, surface=91187.48858205182, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8038533,01, e= 1,227, omega=132,371, i=168,965, OMEGA=170,856, Tp=2014-09-16T09:21:03.492Z, period=64661,094), trueAnomaly=6.782344309272711E-4}, velocity=2444.519410722476, minTimestamp=2014-09-16T09:21:04.000Z, duration=4 d 8 h 49 m 4 s, distance=1828187.4885820518]
VoyageToMoonResult [timestamp=2014-09-12T00:33:00.000Z, speed=10838.0, surface=84346.22476209793, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8038050,05, e= 1,227, omega=132,464, i=168,934, OMEGA=170,906, Tp=2014-09-16T09:20:48.755Z, period=64655,267), trueAnomaly=3.285760147780386E-4}, velocity=2448.645670085253, minTimestamp=2014-09-16T09:20:49.000Z, duration=4 d 8 h 47 m 49 s, distance=1821346.224762098]
VoyageToMoonResult [timestamp=2014-09-12T02:27:00.000Z, speed=10835.0, surface=82393.42754936521, keplerianElements=KeplerianElements { keplerianOrbit=(a=-8274301,70, e= 1,220, omega=137,785, i=19,678, OMEGA=187,868, Tp=2014-09-16T10:40:58.192Z, period=67526,599), trueAnomaly=6.282926548967389}, velocity=2446.2674124059286, minTimestamp=2014-09-16T10:40:58.000Z, duration=4 d 8 h 13 m 58 s, distance=1819393.4275493652]
